CRN,Subj,Crse,Sect,Part of Term,Session,Title,Prof,Day  Beg   End   Bldg Room  (Type),Campus,AddlInfo,Hrs,Max,MaxResv,LeftResv,Enr,Avail,WaitCap,WaitCount,WaitAvail,Room Cap
20237,ACC,03210,  1,"Full Term ... 
21-JAN to 09-MAY",Day,PRINCIPLES OF ACCTG I,STAFF,MW      1530 1645 BUSN 131 (Class),Main,,3,35,0,0,0,35,5,0,5,40
20241,ACC,03210,  2,"Full Term ... 
21-JAN to 09-MAY",Evening,PRINCIPLES OF ACCTG I,STAFF,"M       1830 1945 BUSN 131 (Class)
M       2000 2115 BUSN 131 (Class)",Main,,3,35,0,0,0,35,5,0,5,40
20239,ACC,03210,  3,"Full Term ... 
21-JAN to 09-MAY",Day,PRINCIPLES OF ACCTG I,STAFF,TR      1100 1215 BUSN 101 (Class),Main,,3,35,0,0,0,35,5,0,5,40
20282,ACC,03210,  4,"Full Term ... 
21-JAN to 09-MAY",Day,"PRINCIPLES OF ACCTG IRCB  Pre-business students only.
","Lin, Tony",TR      1400 1515 BUSN 131 (Class),Main,,3,35,0,0,0,35,5,0,5,40
20283,ACC,03210,  5,"Full Term ... 
21-JAN to 09-MAY",Day,"PRINCIPLES OF ACCTG IRCB  Pre-business students only.
","Lin, Tony",TR      1530 1645 BUSN 101 (Class),Main,,3,35,0,0,0,35,5,0,5,40
20161,ACC,03210,  6,"Full Term ... 
21-JAN to 09-MAY",Online,PRINCIPLES OF ACCTG I,"Marmon, Richard",   ,Online,,3,32,0,0,0,32,5,0,5,
20242,ACC,03210,  7,"Full Term ... 
21-JAN to 09-MAY",Day,PRINCIPLES OF ACCTG I,STAFF,MW      0930 1045 BUSN 131 (Class),Main,,3,0,0,0,0,0,0,0,0,40
20243,ACC,03210,  8,"Full Term ... 
21-JAN to 09-MAY",Evening,PRINCIPLES OF ACCTG I,STAFF,"T       1830 1945 BUSN 131 (Class)
T       2000 2115 BUSN 131 (Class)",Main,,3,0,0,0,0,0,0,0,0,40
20285,ACC,03211,  1,"Full Term ... 
21-JAN to 09-MAY",Day,"PRINCIPLES OF ACCTG IIRCB students only.
","Li, Pei",MW      1400 1515 BUSN 201 (Class),Main,,3,35,0,0,0,35,5,0,5,40
20286,ACC,03211,  2,"Full Term ... 
21-JAN to 09-MAY",Day,"PRINCIPLES OF ACCTG IIRCB students only.
","Allen, Robert M.",MW      1530 1645 BUSN 101 (Class),Main,,3,35,0,0,0,35,5,0,5,40
20289,ACC,03211,  3,"Full Term ... 
21-JAN to 09-MAY",Evening,"PRINCIPLES OF ACCTG IIRCB students only.
","Allen, Robert M.",MW      1700 1815 BUSN 101 (Class),Main,,3,35,0,0,0,35,5,0,5,40
20287,ACC,03211,  4,"Full Term ... 
21-JAN to 09-MAY",Day,"PRINCIPLES OF ACCTG IIRCB students only.
","Zhang, Mei",TR      0930 1045 BUSN 121 (Class),Main,,3,35,0,0,0,35,5,0,5,40
20288,ACC,03211,  5,"Full Term ... 
21-JAN to 09-MAY",Day,"PRINCIPLES OF ACCTG IIRCB students only.
","Zhang, Mei",TR      1400 1515 BUSN 121 (Class),Main,,3,35,0,0,0,35,5,0,5,40
20284,ACC,03211,  6,"Full Term ... 
21-JAN to 09-MAY",Day,PRINCIPLES OF ACCTG II,"Zhang, Ling",TR      1530 1645 BUSN 103 (Class),Main,,3,35,0,0,0,35,5,0,5,40
20290,ACC,03211,  7,"Full Term ... 
21-JAN to 09-MAY",Evening,"PRINCIPLES OF ACCTG IIRCB students only.
","Zhang, Ling","T       1830 1945 BUSN 121 (Class)
T       2000 2115 BUSN 121 (Class)",Main,,3,35,0,0,0,35,5,0,5,40
20162,ACC,03211,  8,"Full Term ... 
21-JAN to 09-MAY",Online,"PRINCIPLES OF ACCTG IIRowan Global Online Business students only.
","Marmon, Richard",   ,Online,,3,5,0,0,0,5,0,0,0,*
20246,ACC,03211,  9,"Full Term ... 
21-JAN to 09-MAY",Evening,PRINCIPLES OF ACCTG II,STAFF,TR      1700 1815 BUSN 103 (Class),Main,,3,0,0,0,0,0,0,0,0,40
20247,ACC,03211, 10,"Full Term ... 
21-JAN to 09-MAY",Evening,PRINCIPLES OF ACCTG II,STAFF,"W       1830 1945 BUSN 121 (Class)
W       2000 2115 BUSN 121 (Class)",Main,,3,0,0,0,0,0,0,0,0,40
22942,ACC,03211, 11,"Full Term ... 
21-JAN to 09-MAY",Online,"PRINCIPLES OF ACCTG IINon-Accounting  Finance majors only.
","Marmon, Richard",   ,Online,,3,25,0,0,0,25,0,0,0,*
20216,ACC,03300,  1,"Full Term ... 
21-JAN to 09-MAY",Evening,SUPERVISED INTERNSHIP ACCT,STAFF,F       1700 1815 BUSN 101 (Class),Main,,3,20,0,0,0,20,0,0,0,40*
20249,ACC,03301,  1,"Full Term ... 
21-JAN to 09-MAY",Day,ACCOUNTING ANALYTICS,"McFarland, Daniel J.",MW      0800 0915 BUSN 107 (Class),Main,,3,24,0,0,0,24,6,0,6,40
20251,ACC,03301,  2,"Full Term ... 
21-JAN to 09-MAY",Evening,ACCOUNTING ANALYTICS,STAFF,"R       1830 1945 BUSN 107 (Class)
R       2000 2115 BUSN 107 (Class)",Main,,3,24,0,0,0,24,6,0,6,40
20253,ACC,03310,  1,"Full Term ... 
21-JAN to 09-MAY",Day,INTERMEDIATE ACCTG I,"Omar, Ayishat",MW      1230 1345 BUSN 131 (Class),Main,,3,32,0,0,0,32,8,0,8,40
20254,ACC,03310,  2,"Full Term ... 
21-JAN to 09-MAY",Day,INTERMEDIATE ACCTG I,"Sacchetta, Robert J.",TR      1230 1345 BUSN 101 (Class),Main,,3,32,0,0,0,32,8,0,8,40
20255,ACC,03310,  3,"Full Term ... 
21-JAN to 09-MAY",Day,INTERMEDIATE ACCTG I,"Sacchetta, Robert J.",TR      1400 1515 BUSN 101 (Class),Main,,3,32,0,0,0,32,8,0,8,40
20257,ACC,03310,  4,"Full Term ... 
21-JAN to 09-MAY",Day,INTERMEDIATE ACCTG I,STAFF,MW      0930 1045 BUSN 121 (Class),Main,,3,0,0,0,0,0,0,0,0,40
20259,ACC,03311,  1,"Full Term ... 
21-JAN to 09-MAY",Day,INTERMEDIATE ACCTG II,"Omar, Ayishat",MW      0930 1045 BUSN 103 (Class),Main,,3,32,0,0,0,32,8,0,8,40
20260,ACC,03311,  2,"Full Term ... 
21-JAN to 09-MAY",Day,INTERMEDIATE ACCTG II,"Omar, Ayishat",MW      1400 1515 BUSN 131 (Class),Main,,3,32,0,0,0,32,8,0,8,40
20262,ACC,03311,  3,"Full Term ... 
21-JAN to 09-MAY",Evening,INTERMEDIATE ACCTG II,"Sacchetta, Robert J.",TR      1700 1815 BUSN 101 (Class),Main,,3,32,0,0,0,32,8,0,8,40
20263,ACC,03311,  4,"Full Term ... 
21-JAN to 09-MAY",Evening,INTERMEDIATE ACCTG II,STAFF,"T       1830 1945 BUSN 101 (Class)
T       2000 2115 BUSN 101 (Class)",Main,,3,0,0,0,0,0,0,0,0,40
20264,ACC,03320,  1,"Full Term ... 
21-JAN to 09-MAY",Day,ACCTG INFO SYSTEMS,"Li, Pei",MW      0930 1045 BUSN 107 (Class),Main,,3,24,0,0,0,24,6,0,6,40
20266,ACC,03320,  2,"Full Term ... 
21-JAN to 09-MAY",Day,ACCTG INFO SYSTEMS,"Li, Pei",MW      1530 1645 BUSN 107 (Class),Main,,3,24,0,0,0,24,6,0,6,40
20268,ACC,03326,  1,"Full Term ... 
21-JAN to 09-MAY",Day,STRATEGIC COST ANALYSIS,"Papakroni, Erlina",MW      1400 1515 BUSN 121 (Class),Main,,3,32,0,0,0,32,8,0,8,40
20269,ACC,03326,  2,"Full Term ... 
21-JAN to 09-MAY",Day,STRATEGIC COST ANALYSIS,"Papakroni, Erlina",MW      1530 1645 BUSN 121 (Class),Main,,3,32,0,0,0,32,8,0,8,40
20270,ACC,03405,  1,"Full Term ... 
21-JAN to 09-MAY",Day,FOUNDATIONS OF ACCTG,"Papakroni, Erlina",MW      0930 1045 BUSN 101 (Class),Main,,3,32,0,0,0,32,8,0,8,40
20272,ACC,03410,  1,"Full Term ... 
21-JAN to 09-MAY",Day,AUDITING,STAFF,TR      1230 1345 BUSN 107 (Class),Main,,3,32,0,0,0,32,8,0,8,40
20273,ACC,03410,  2,"Full Term ... 
21-JAN to 09-MAY",Day,AUDITING,STAFF,TR      1530 1645 BUSN 107 (Class),Main,,3,32,0,0,0,32,8,0,8,40
20275,ACC,03411,  1,"Full Term ... 
21-JAN to 09-MAY",Day,ADV AUDITING AND ANALYTICS,STAFF,TR      0930 1045 BUSN 107 (Class),Main,,3,32,0,0,0,32,8,0,8,40
20277,ACC,03416,  1,"Full Term ... 
21-JAN to 09-MAY",Day,ADV ACCOUNTING,"Honer, Joseph S",TR      0800 0915 BUSN 101 (Class),Main,,3,32,0,0,0,32,8,0,8,40
20278,ACC,03416,  2,"Full Term ... 
21-JAN to 09-MAY",Day,ADV ACCOUNTING,"Honer, Joseph S",TR      0930 1045 BUSN 101 (Class),Main,,3,32,0,0,0,32,8,0,8,40
20217,ACC,03419,  1,"Full Term ... 
21-JAN to 09-MAY",Day,FORENSIC ACCTG FRAUD INVESTIGA,"Honer, Joseph S","F       0930 1045 BUSN 101 (Class)
F       1100 1215 BUSN 101 (Class)",Main,,3,32,0,0,0,32,8,0,8,40
20218,ACC,03425,  1,"Full Term ... 
21-JAN to 09-MAY",Day,INTERNATIONAL ACCOUNTING,"Zhang, Mei",TR      1100 1215 BUSN 131 (Class),Main,,3,32,0,0,0,32,8,0,8,40
20219,ACC,03428,  1,"Full Term ... 
21-JAN to 09-MAY",Day,INTEGRATIVE ACCT SEMINAR,"Sagedy, Robert Andrew",MW      1230 1345 BUSN 101 (Class),Main,,3,30,0,0,0,30,5,0,5,40
20220,ACC,03428,  2,"Full Term ... 
21-JAN to 09-MAY",Day,INTEGRATIVE ACCT SEMINAR,"Sagedy, Robert Andrew",MW      1400 1515 BUSN 101 (Class),Main,,3,30,0,0,0,30,5,0,5,40
20221,ACC,03430,  1,"Full Term ... 
21-JAN to 09-MAY",Evening,INDIVIDUAL TAXATION,"Van Hook, Andrew P.",MW      1700 1815 BUSN 103 (Class),Main,,3,32,0,0,0,32,8,0,8,40
20222,ACC,03431,  1,"Full Term ... 
21-JAN to 09-MAY",Evening,TAXATION OF BUS ENTITIES,"Van Hook, Andrew P.","M       1830 1945 BUSN 103 (Class)
M       2000 2115 BUSN 103 (Class)",Main,,3,32,0,0,0,32,8,0,8,40
20223,ACC,03432,  1,"Full Term ... 
21-JAN to 09-MAY",Day,FEDERAL TAXATION,"Van Hook, Andrew P.",MW      1230 1345 BUSN 103 (Class),Main,,3,32,0,0,0,32,8,0,8,40
20224,ACC,03432,  2,"Full Term ... 
21-JAN to 09-MAY",Day,FEDERAL TAXATION,"Van Hook, Andrew P.",MW      1400 1515 BUSN 103 (Class),Main,,3,32,0,0,0,32,8,0,8,40
20225,ACC,03432,  3,"Full Term ... 
21-JAN to 09-MAY",Evening,FEDERAL TAXATION,STAFF,"W       1830 1945 BUSN 103 (Class)
W       2000 2115 BUSN 103 (Class)",Main,,3,0,0,0,0,0,0,0,0,40
22227,ACC,03500, 1C,"Module Three ... 
21-JAN to 17-MAR",Online,FINANCIAL  MANAGERIAL ACCOUNT,"Sacchetta, Robert J.",   ,Online,,3,30,0,0,0,30,0,0,0,
22238,ACC,03510, 1C,"Module Four ... 
18-MAR to 12-MAY",Online,FINANCIAL STATEMENT ANALYS,STAFF,   ,Online,,3,30,0,0,0,30,0,0,0,
22260,ACC,03516,  1,"Full Term ... 
21-JAN to 09-MAY",Evening,INNOVATION AND ANALYTICS IN AC,"Lin, Tony","T       1830 1945 BUSN 303 (Class)
T       2000 2115 BUSN 303 (Class)",Main,,3,30,0,0,0,30,0,0,0,40
20164,ACC,98300,  1,"Full Term ... 
21-JAN to 09-MAY",Online,LAW FOR ACCOUNTANTS,"Honer, Joseph S",   ,Online,,3,32,0,0,0,32,5,0,5,
23487,ADV,04232,  1,"Full Term ... 
21-JAN to 09-MAY",Day,ADVERTISING MEDIA BUDGETING,"Vilceanu, Olga",TR      0930 1045 SCIENC 324 (Class),Main,,3,20,0,0,0,20,0,0,0,52
23488,ADV,04232,  2,"Full Term ... 
21-JAN to 09-MAY",Day,ADVERTISING MEDIA BUDGETING,"Vilceanu, Olga",TR      0800 0915 SCIENC 324 (Class),Main,,3,20,0,0,0,20,0,0,0,52
23489,ADV,04330,  1,"Full Term ... 
21-JAN to 09-MAY",Day,INTRO ADVERTISING,"Johnson, Kristine C",MW      1400 1515 WHITNY CL-202 (Class),Main,,3,30,0,0,0,30,0,0,0,35
23491,ADV,04330,  2,"Full Term ... 
21-JAN to 09-MAY",Online,INTRO ADVERTISING,"Hicks, Sherry C",   ,Online,,3,30,0,0,0,30,0,0,0,
23490,ADV,04330,  3,"Full Term ... 
21-JAN to 09-MAY",Day,INTRO ADVERTISING,"Fagan, Lisa Michelle",TR      1530 1645 VCTRIA 201 (Class),Main,,3,30,0,0,0,30,0,0,0,24
23492,ADV,04330, 1C,"Full Term ... 
21-JAN to 09-MAY",Online,INTRO ADVERTISING,"Ziegler, Edward",   ,Online,,3,30,0,0,0,30,0,0,0,
23493,ADV,04352,  1,"Full Term ... 
21-JAN to 09-MAY",Day,ADVERTISING STRATEGIES,"Johnson, Kristine C","T       1100 1215 VCTRIA 200 (Class)
T       1230 1345 VCTRIA 200 (Class)",Main,,3,24,0,0,0,24,0,0,0,60
23494,ADV,04360,  1,"Full Term ... 
21-JAN to 09-MAY",Evening,INTEGRATED MARKETING COMM,"Eschbach, Peter Alan","T       1830 1945 301HGH 216 (Class)
T       2000 2115 301HGH 216 (Class)",Main,,3,20,0,0,0,20,0,0,0,20
23495,ADV,04360,  2,"Full Term ... 
21-JAN to 09-MAY",Day,INTEGRATED MARKETING COMM,"Nia-Schoenstein, Asadeh",MW      1400 1515 301HGH 305 (Class),Main,,3,24,0,0,0,24,0,0,0,29
23496,ADV,04360,  3,"Full Term ... 
21-JAN to 09-MAY",Online,"INTEGRATED MARKETING COMMRCBC students only.
","Basso, Joseph N.",   ,Online,,3,24,0,0,0,24,0,0,0,
23498,ADV,04360, 1C,"Full Term ... 
21-JAN to 09-MAY",Online,"INTEGRATED MARKETING COMMGlobal student only.
","Valore, Vanessa Lynn",   ,Online,,3,24,0,0,0,24,0,0,0,
23499,ADV,04375,  1,"Full Term ... 
21-JAN to 09-MAY",Day,ADVERTISING COPYWRITING,"Eschbach, Peter Alan",TR      1530 1645 301HGH 216 (Class),Main,,3,20,0,0,0,20,0,0,0,20
23500,ADV,04375,  2,"Full Term ... 
21-JAN to 09-MAY",Day,ADVERTISING COPYWRITING,"Rodolico, Louis Francis",TR      0930 1045 VCTRIA 201 (Class),Main,,3,24,0,0,0,24,0,0,0,24
23501,ADV,04375,  3,"Full Term ... 
21-JAN to 09-MAY",Day,ADVERTISING COPYWRITING,"Rodolico, Louis Francis",MW      1230 1345 301HGH 305 (Class),Main,,3,24,0,0,0,24,0,0,0,29
23502,ADV,04420,  1,"Full Term ... 
21-JAN to 09-MAY",Day,PORTFOLIO PREPARATION,"Rodolico, Louis Francis",TR      1100 1215 301HGH 216 (Class),Main,,3,0,0,0,0,0,0,0,0,20
23503,ADV,04421,  1,"Full Term ... 
21-JAN to 09-MAY",Day,ACCOUNT PLANNING,"Rodolico, Louis Francis",TR      0800 0915 301HGH 305 (Class),Main,,3,24,0,0,0,24,0,0,0,29
23504,ADV,04421,  2,"Full Term ... 
21-JAN to 09-MAY",Day,ACCOUNT PLANNING,"Audio, Regina M",TR      1230 1345 DISCOV 227 (Class),Main,,3,0,0,0,0,0,0,0,0,56
23505,ADV,04432,  1,"Full Term ... 
21-JAN to 09-MAY",Day,MEDIA PLANNING,"O'Brien, Thomas Vincent",MW      1400 1515 ENTPRZ 417 (Class),Main,,3,0,0,0,0,0,0,0,0,32
23506,ADV,04433,  1,"Full Term ... 
21-JAN to 09-MAY",Day,DIGITAL ADVERTISING STRATEGIES,"Audio, Regina M",TR      1400 1515 301HGH 216 (Class),Main,,3,20,0,0,0,20,0,0,0,20
23507,ADV,04434,  1,"Full Term ... 
21-JAN to 09-MAY",Evening,ADVERTISING CAMPAIGNS-WI,"Rodolico, Louis Francis","M       1700 1815 WESTBY 111 (Class)
M       1830 1945 WESTBY 111 (Class)",Main,,3,25,0,0,0,25,0,0,0,91
23508,ADV,04434,  2,"Full Term ... 
21-JAN to 09-MAY",Evening,ADVERTISING CAMPAIGNS-WI,"Audio, Regina M","M       1700 1815 WESTBY 111 (Class)
M       1700 1815 WESTBY 111 (Class)",Main,,3,25,0,0,0,25,0,0,0,91
23509,ADV,04434,  3,"Full Term ... 
21-JAN to 09-MAY",Evening,ADVERTISING CAMPAIGNS-WI,"Fagan, Lisa Michelle","M       1700 1815 WESTBY 111 (Class)
M       1830 1945 WESTBY 111 (Class)",Main,,3,25,0,0,0,25,0,0,0,91
21873,AFST,11104,  1,"Full Term ... 
21-JAN to 09-MAY",Day,INTRO TO AFRICANA STUDIES,STAFF,MW      1230 1345 LBRARY 578 (Class),Main,,3,30,0,0,0,30,0,0,0,32
21874,AFST,11104,  2,"Full Term ... 
21-JAN to 09-MAY",Day,INTRO TO AFRICANA STUDIES,"Ames, Lola C",TR      1100 1215 LBRARY 578 (Class),Main,,3,30,0,0,0,30,0,0,0,32
21875,AFST,11304,  1,"Full Term ... 
21-JAN to 09-MAY",Evening,AFRICANA SOCIAL THOUGHT,"Alexander, Sheree Nicole","W       1830 1945 HAWTHN 104 (Class)
W       2000 2115 HAWTHN 104 (Class)",Main,,3,30,0,0,0,30,0,0,0,30
21876,AFST,11350,  1,"Module Three ... 
21-JAN to 17-MAR",Hybrid,"TPS AFRICANA STUDIES: MODEL AUThis Course meets in person on 1/23, 2/6, 2/13, and 3/6.
",STAFF,"R       1530 1645 BUNCE 202 (Class)
R       1530 1645 BUNCE 202 (Class)
R       1530 1645 BUNCE 202 (Class)
R       1530 1645 BUNCE 202 (Class)
R       1700 1815 BUNCE 202 (Class)
R       1700 1815 BUNCE 202 (Class)
R       1700 1815 BUNCE 202 (Class)
R       1700 1815 BUNCE 202 (Class)
   ",Main,,3,0,0,0,0,0,0,0,0,24
21886,AMST,13101,  1,"Full Term ... 
21-JAN to 09-MAY",Online,INTRO TO AMERICAN STUDIES,"Gennari, Elizabeth V",   ,Online,,3,35,0,0,0,35,0,0,0,
21887,AMST,13101,  2,"Module Three ... 
21-JAN to 17-MAR",Online,INTRO TO AMERICAN STUDIES,"Dashefsky, Brian F",   ,Online,,3,35,0,0,0,35,0,0,0,
21888,AMST,13101,  3,"Module Four ... 
18-MAR to 12-MAY",Online,INTRO TO AMERICAN STUDIES,"Dashefsky, Brian F",   ,Online,,3,35,0,0,0,35,0,0,0,
21889,AMST,13402,  1,"Full Term ... 
21-JAN to 09-MAY",Online,SENIOR SEM AMER ST-WI,"Leonard, Katherine Sparks",   ,Online,,3,15,0,0,0,15,0,0,0,
22777,ANS,00505,  1,"STBES 2 ... 
02-JAN to 09-MAY",Day,HUMAN DEVELOPMENTAL ANATOMY,"Carsia, Rocco V",   ,Stratford,,3,3,0,0,0,3,0,0,0,
22778,ANS,00507,  1,"STBES 2 ... 
02-JAN to 09-MAY",Day,TCH PRAC IN HUM ANAT DISSE III,"Carsia, Rocco V",   ,Stratford,,1,3,0,0,0,3,0,0,0,
22447,ANTH,02202,  1,"Full Term ... 
21-JAN to 09-MAY",Day,CULTURAL ANTHROPOLOGY,"Cushman, Robert Dustin",TR      1230 1345 BUSN 303 (Class),Main,,3,35,0,0,0,35,0,0,0,40
22361,ANTH,02202,  2,"Full Term ... 
21-JAN to 09-MAY",Online,CULTURAL ANTHROPOLOGY,STAFF,   ,Online,,3,35,0,0,0,35,0,0,0,
22362,ANTH,02202,  3,"Full Term ... 
21-JAN to 09-MAY",Online,CULTURAL ANTHROPOLOGY,"Kyle, Jacquelyn M. R.",   ,Online,,3,35,0,0,0,35,0,0,0,
22363,ANTH,02202,  4,"Full Term ... 
21-JAN to 09-MAY",Online,CULTURAL ANTHROPOLOGY,"Cordle, Chelsea Marie",   ,Online,,3,35,0,0,0,35,0,0,0,
22365,ANTH,02202,  5,"Full Term ... 
21-JAN to 09-MAY",Online,CULTURAL ANTHROPOLOGY,"Chao, Kate",   ,Online,,3,35,0,0,0,35,0,0,0,
22366,ANTH,02202,  6,"Module Four ... 
18-MAR to 12-MAY",Online,CULTURAL ANTHROPOLOGY,"Castro, Arlene D",   ,Online,,3,35,0,0,0,35,0,0,0,
22387,ANTH,02203,  1,"Full Term ... 
21-JAN to 09-MAY",Evening,INTRO ARCHEOLOGY,"Kyle, Jacquelyn M. R.","M       1830 1945 ROBSON 205 (Class)
M       2000 2115 ROBSON 205 (Class)",Main,,3,29,0,0,0,29,0,0,0,29
22448,ANTH,02203,  2,"Full Term ... 
21-JAN to 09-MAY",Evening,INTRO ARCHEOLOGY,"Hill, Jane A",TR      1700 1815 ROBSON 205 (Class),Main,,3,29,0,0,0,29,0,0,0,29
22449,ANTH,02205,  1,"Full Term ... 
21-JAN to 09-MAY",Day,MUMMIES/BURIAL ANCIENT CULTRS,"Rosado, Maria",TR      1100 1215 ROBSON 205 (Class),Main,,3,29,0,0,0,29,0,0,0,29
22450,ANTH,02215,  1,"Full Term ... 
21-JAN to 09-MAY",Day,MEDICAL ANTHROPOLOGY,"Schug, Seran E",TR      1100 1215 BUSN 303 (Class),Main,,3,35,0,0,0,35,0,0,0,40
22451,ANTH,02221,  1,"Full Term ... 
21-JAN to 09-MAY",Day,HUMAN VARIATION,"Rosado, Maria",MW      0930 1045 ROBSON 205 (Class),Main,,3,29,0,0,0,29,0,0,0,29
22452,ANTH,02221,  2,"Full Term ... 
21-JAN to 09-MAY",Day,HUMAN VARIATION,"Getler, Anna Elizabeth",MW      1100 1215 ROBSON 205 (Class),Main,,3,29,0,0,0,29,0,0,0,29
22453,ANTH,02221,  3,"Full Term ... 
21-JAN to 09-MAY",Day,HUMAN VARIATION,"Getler, Anna Elizabeth",MW      1400 1515 ROBSON 205 (Class),Main,,3,29,0,0,0,29,0,0,0,29
22367,ANTH,02221,  4,"Full Term ... 
21-JAN to 09-MAY",Online,HUMAN VARIATION,"Mitchell, Tovah Jennifer Ross",   ,Online,,3,35,0,0,0,35,0,0,0,
22369,ANTH,02221,  5,"Full Term ... 
21-JAN to 09-MAY",Online,HUMAN VARIATION,"Mitchell, Tovah Jennifer Ross",   ,Online,,3,35,0,0,0,35,0,0,0,
22370,ANTH,02221,  6,"Full Term ... 
21-JAN to 09-MAY",Online,HUMAN VARIATION,"McCaffrey, Amanda K",   ,Online,,3,35,0,0,0,35,0,0,0,
22371,ANTH,02221,  7,"Full Term ... 
21-JAN to 09-MAY",Online,HUMAN VARIATION,"McCaffrey, Amanda K",   ,Online,,3,35,0,0,0,35,0,0,0,
22372,ANTH,02221,  8,"Full Term ... 
21-JAN to 09-MAY",Online,HUMAN VARIATION,"Cordle, Chelsea Marie",   ,Online,,3,35,0,0,0,35,0,0,0,
22373,ANTH,02221,  9,"Full Term ... 
21-JAN to 09-MAY",Online,HUMAN VARIATION,"Verostick, Kirsten",   ,Online,,3,35,0,0,0,35,0,0,0,
22374,ANTH,02221, 10,"Full Term ... 
21-JAN to 09-MAY",Online,HUMAN VARIATION,"Verostick, Kirsten",   ,Online,,3,35,0,0,0,35,0,0,0,
22440,ANTH,02305,  1,"Full Term ... 
21-JAN to 09-MAY",Day,PRIMATOLOGY,"Rosado, Maria",TR      0930 1045 ROBSON 205 (Class),Main,,3,29,0,0,0,29,0,0,0,29
22441,ANTH,02310,  1,"Full Term ... 
21-JAN to 09-MAY",Day,NATIVE NORTH AMERICA,"Hundley, James M",MW      1230 1345 HAWTHN 104 (Class),Main,,3,26,0,0,0,26,0,0,0,30
22388,ANTH,02322,  1,"Full Term ... 
21-JAN to 09-MAY",Evening,SEX AND SEX ROLES,"Hundley, James M",MW      1700 1815 ROBSON 205 (Class),Main,,3,26,0,0,0,26,0,0,0,29
22442,ANTH,02323,  1,"Full Term ... 
21-JAN to 09-MAY",Day,ANTH OF MAGIC  RELIGION,"Cushman, Robert Dustin",TR      1400 1515 ROBSON 205 (Class),Main,,3,26,0,0,0,26,0,0,0,29
22443,ANTH,02355,  1,"Full Term ... 
21-JAN to 09-MAY",Day,GLOBAL HLTH ANTHRO PERSPECTIVE,"Schug, Seran E",TR      1230 1345 ROBSON 205 (Class),Main,,3,26,0,0,0,26,0,0,0,29
22444,ANTH,02378,  1,"Full Term ... 
21-JAN to 09-MAY",Day,PUBLIC ARCHAEOLOGY,"Hill, Jane A",MW      1530 1645 ROBSON 205 (Class),Main,,3,26,0,0,0,26,0,0,0,29
22445,ANTH,02450,  1,"Full Term ... 
21-JAN to 09-MAY",Day,ANTHROPOLOGY SR SEMINAR - WI,"Hill, Jane A",MW      1230 1345 ROBSON 205 (Class),Main,,3,20,0,0,0,20,0,0,0,29
21879,ANTH,02510,  1,"Full Term ... 
21-JAN to 09-MAY",Evening,QUALITATIVE RESEARCH,"Schug, Seran E","W       1700 1815 LBRARY 525 (Class)
W       1830 1945 LBRARY 525 (Class)",Main,,3,15,0,0,0,15,0,0,0,22
21735,ARAB,12101,  1,"Full Term ... 
21-JAN to 09-MAY",Day,ELEMENTARY ARABIC I,"Mousa, Tarek Awadalla",TR      0930 1045 WILSON 206 (Class),Main,,3,24,0,0,0,24,0,0,0,24
21736,ARAB,12102,  1,"Full Term ... 
21-JAN to 09-MAY",Day,"ELEMENTARY ARABIC IIPrerequisite waiver available through placement interview.Contact mousa@rowan.edu.
","Mousa, Tarek Awadalla",TR      1100 1215 WILSON 206 (Class),Main,,3,24,0,0,0,24,0,0,0,24
21737,ARAB,12211,  1,"Full Term ... 
21-JAN to 09-MAY",Day,"INTERMEDIATE ARABIC IIPrerequisite waiver available through placement interview.Contact mousa@rowan.edu.
","Mousa, Tarek Awadalla",MW      0930 1045 JAMES 2095 (Class),Main,,3,16,0,0,0,16,0,0,0,16
21738,ARAB,12320,  1,"Full Term ... 
21-JAN to 09-MAY",Day,ARABIC CIVILIZATION/CULTURE,"Mousa, Tarek Awadalla",MW      1100 1215 JAMES 2095 (Class),Main,,3,16,0,0,0,16,0,0,0,16
23940,ARHS,03103,  1,"Full Term ... 
21-JAN to 09-MAY",Day,"ART HIS SRVY I:PRE TO MEDIEVALOff-campus trip.
",STAFF,"F       0930 1045 WESTBY 111 (Class)
F       1100 1215 WESTBY 111 (Class)",Main,,3,28,0,0,0,28,0,0,0,91
23941,ARHS,03104,  1,"Full Term ... 
21-JAN to 09-MAY",Day,"ART HIS SRVY II:RENS TO MODERNOff-campus trip.
",STAFF,MW      0930 1045 WESTBY 111 (Class),Main,,3,28,0,0,0,28,0,0,0,91
23942,ARHS,03104,  2,"Full Term ... 
21-JAN to 09-MAY",Day,"ART HIS SRVY II:RENS TO MODERNOff-campus trip.
",STAFF,MW      1100 1215 WESTBY 111 (Class),Main,,3,28,0,0,0,28,0,0,0,91
23943,ARHS,03130,  1,"Full Term ... 
21-JAN to 09-MAY",Online,"ART APPRECIATIONOff-campus trip.
",STAFF,   ,Online,,3,28,0,0,0,28,0,0,0,
23944,ARHS,03130,  2,"Full Term ... 
21-JAN to 09-MAY",Day,"ART APPRECIATIONOff-campus trip.
",STAFF,TR      1230 1345 WESTBY 111 (Class),Main,,3,28,0,0,0,28,0,0,0,91
23945,ARHS,03130,  3,"Full Term ... 
21-JAN to 09-MAY",Day,"ART APPRECIATIONOff-campus trip.
",STAFF,TR      1530 1645 WESTBY 111 (Class),Main,,3,28,0,0,0,28,0,0,0,91
